id,nombre,descripcion,categoria,precio,imagen,codigo,stock
2044,Sobre Blanco Carta,Sobre Blanco Carta,Papeleria,1,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501090110257.jpg,7501090110257,9968
2045,Sobre De Color 92x163 Mm,Sobre De Color 92x163 Mm,Papeleria,1.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501585521216.jpg,7501585521216,9996
2046,Sobre De Dinero 8x16 Cansa,Sobre De Dinero 8x16 Cansa,Papeleria,2,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501090124216.jpg,7501090124216,9917
2047,Sobre De Hilo Carta,Sobre De Hilo Carta,Papeleria,8,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/90.jpg,90,2
2048,Sobre De Hilo Oficio ,Sobre De Hilo Oficio ,Papeleria,10,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501090129587.jpg,7501090129587,28
2049,Sobre De Plastico Amarillo Oficio Smart,Sobre De Plastico Amarillo Oficio Smart,Papeleria,24,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257114307.jpg,787257114307,9994
2050,Sobre De Plastico Carta,Sobre De Plastico Carta,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/6934274151011.jpg,6934274151011,0
2051,Sobre De Plastico Carta ,Sobre De Plastico Carta ,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/6934274151042.jpg,6934274151042,-5
2052,Sobre De Plastico Carta,Sobre De Plastico Carta,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/6934274181490.jpg,6934274181490,9995
2053,Sobre De Plastico Carta amarillo,Sobre De Plastico Carta amarillo,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257114277.jpg,787257114277,-1
2054,Sobre De Plastico Carta azul,Sobre De Plastico Carta azul,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/6934274151028.jpg,6934274151028,-7
2055,Sobre De Plastico Carta Horizontal Con Broche ,Sobre De Plastico Carta Horizontal Con Broche ,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257143154.jpg,787257143154,-3
2056,Sobre De Plastico Carta Horizontal Con Broche ,Sobre De Plastico Carta Horizontal Con Broche ,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257143178.jpg,787257143178,9989
2057,Sobre De Plastico Carta Horizontal Con Broche ,Sobre De Plastico Carta Horizontal Con Broche ,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257143215.jpg,787257143215,9995
2058,Sobre De Plastico Carta rosa Con Broche Smart,Sobre De Plastico Carta rosa Con Broche Smart,Ferreteria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257143277.jpg,787257143277,-2
2059,Sobre De Plastico Carta verde Con Broche Smart,Sobre De Plastico Carta verde Con Broche Smart,Papeleria,19,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257143314.jpg,787257143314,-3
2060,Sobre de plastico con broche oficio azul Smart,Sobre de plastico con broche oficio azul Smart,Papeleria,27,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257138662.jpg,787257138662,0
